央视高清,#genre#
CCTV-1,http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8 
CCTV-2,http://39.134.240.3/PLTV/2/224/3221226188/index.m3u8 
CCTV-3,http://39.134.240.3/PLTV/2/224/3221226190/index.m3u8 
CCTV-4,http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8 
CCTV4欧洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305577/main.m3u8
CCTV4美洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305581/main.m3u8
CCTV4K,http://223.105.252.60/PLTV/4/224/3221228228/index.m3u8?icpid=4&from=1&hms_devid=6885
CCTV-5,http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8 
CCTV-5+,http://39.134.240.3/PLTV/2/224/3221225811/index.m3u8 
CCTV-6,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8 
CCTV-7,http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8 
CCTV-8,http://39.134.240.3/PLTV/2/224/3221225821/index.m3u8 
CCTV8K,http://223.105.252.58/PLTV/3/224/3221228165/1.m3u8?icpid=3&from=1&hms_devid=6886
CCTV-9,http://39.134.240.3/PLTV/2/224/3221225819/index.m3u8 
CCTV-10,http://39.134.240.3/PLTV/2/224/3221225817/index.m3u8 
CCTV11,http://36.158.166.3:8089/180000001002/00000001000000000026000000446966/main.m3u8
CCTV-12,http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8 
CCTV13,http://36.158.166.3:8089/180000001002/00000001000000000050000000133801/main.m3u8
CCTV-14,http://39.134.240.3/PLTV/2/224/3221225813/index.m3u8 
CCTV15,http://36.158.166.3:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV16 4K,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000085000000178450/index.m3u8
CCTV16,http://36.158.166.3:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV17,http://36.158.166.3:8089/180000001002/00000001000000000025000000024152/main.m3u8
CCTV1,http://111.23.232.117:80/180000001001/00000001000000001001000000000036/main.m3u8
CCTV2,http://111.23.232.117:80/180000001001/00000001000000001001000000000050/main.m3u8
CCTV3,http://111.23.232.117:80/180000001001/00000001000000001001000000000051/main.m3u8
CCTV4,http://111.23.232.117:80/180000001001/00000001000000001001000000000052/main.m3u8
CCTV5,http://111.23.232.117:80/180000001001/00000001000000001001000000000053/main.m3u8
CCTV5+,http://111.23.232.117:80/180000001001/00000001000000001001000000000061/main.m3u8
CCTV6,http://111.23.232.117:80/180000001001/00000001000000001001000000000054/main.m3u8
CCTV7,http://111.23.232.117:80/180000001001/00000001000000001001000000000055/main.m3u8
CCTV8,http://111.23.232.117:80/180000001001/00000001000000001001000000000056/main.m3u8
CCTV9,http://111.23.232.117:80/180000001001/00000001000000001001000000000057/main.m3u8
CCTV10,http://111.23.232.117:80/180000001001/00000001000000001001000000000058/main.m3u8
CCTV11,http://111.23.232.117:80/180000001001/00000001000000001019000000352943/main.m3u8
CCTV12,http://111.23.232.117:80/180000001001/00000001000000001001000000000060/main.m3u8
