央视,＃genre＃
CCTV1高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV2高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047431/main.m3u8
CCTV3高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047432/main.m3u8
CCTV4高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047433/main.m3u8
CCTV4欧洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305577/main.m3u8
CCTV4美洲,http://36.158.166.3:8089/180000001002/00000001000000000071000000305581/main.m3u8
CCTV5高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047434/main.m3u8
CCTV5+高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047442/main.m3u8
CCTV6高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047435/main.m3u8
CCTV7高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047436/main.m3u8
CCTV8高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047437/main.m3u8
CCTV9高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047438/main.m3u8
CCTV10高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047439/main.m3u8
CCTV11高清,http://36.158.166.3:8089/180000001002/00000001000000000026000000446966/main.m3u8
CCTV12高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047440/main.m3u8
CCTV13高清,http://36.158.166.3:8089/180000001002/00000001000000000050000000133801/main.m3u8
CCTV少儿高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047441/main.m3u8
CCTV15高清,http://36.158.166.3:8089/180000001002/00000001000000000026000000446967/main.m3u8
CCTV16高清(试用),http://36.158.166.3:8089/180000001002/00000001000000000079000000434986/main.m3u8
CCTV17高清,http://36.158.166.3:8089/180000001002/00000001000000000025000000024152/main.m3u8
CCTV5+高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047442/main.m3u8
CGTN,http://36.158.166.3:8089/180000001002/00000000000000020000000000182292/main.m3u8
CGTN纪录,http://36.158.166.3:8089/180000001002/00000000000000020000000000182305/main.m3u8
CETV-1高清,http://36.158.166.3:8089/180000001002/00000001000000000016000000007220/main.m3u8
CETV-2,http://36.158.166.3:8089/180000001002/00000001000000000024000000361367/main.m3u8
CETV-4高清,http://36.158.166.3:8089/180000001002/00000001000000000024000000361368/main.m3u8
CGTN西班牙语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305582/main.m3u8
CGTN法语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305586/main.m3u8
CGTN阿拉伯语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305587/main.m3u8
CGTN俄语,http://36.158.166.3:8089/180000001002/00000001000000000071000000305589/main.m3u8
地方,＃genre＃
湖南经视高清,http://36.158.166.3:8089/180000001002/00000001000000000002000000113182/main.m3u8
湖南都市高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001249/main.m3u8
湖南电视剧高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001245/main.m3u8
湖南电影高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001246/main.m3u8
湖南娱乐高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001248/main.m3u8
金鹰纪实高清,http://36.158.166.3:8089/180000001002/00000001000000000016000000007228/main.m3u8
湖南爱晚高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047425/main.m3u8
湖南国际高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047426/main.m3u8
金鹰卡通高清,http://36.158.166.3:8089/180000001002/00000001000000000007000000001247/main.m3u8
快乐购高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047427/main.m3u8
湖南教育高清,http://36.158.166.3:8089/180000001002/00000001000000000023000000196697/main.m3u8
嘉丽购高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047453/main.m3u8
茶频道高清,http://36.158.166.3:8089/180000001002/00000001000000000025000000316196/main.m3u8
长沙新闻综合高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047429/main.m3u8
长沙政法高清,http://36.158.166.3:8089/180000001002/00000001000000000008000000047430/main.m3u8
长沙政法,http://36.158.166.3:8089/180000001002/00000000000000020000000000182540/main.m3u8
